from,to,weight,type
0,114,2,undirected
0,152,4,undirected
0,190,1,undirected
1,77,2,undirected
1,115,3,undirected
1,191,3,undirected
2,78,2,undirected
2,116,4,undirected
2,154,3,undirected
2,192,5,undirected
3,41,1,undirected
3,79,3,undirected
3,155,2,undirected
4,42,3,undirected
4,118,4,undirected
4,156,3,undirected
5,43,2,undirected
5,81,3,undirected
5,119,2,undirected
5,157,3,undirected
5,195,5,undirected
6,82,6,undirected
6,120,2,undirected
6,196,1,undirected
7,45,2,undirected
7,121,3,undirected
7,159,3,undirected
8,46,3,undirected
8,84,2,undirected
8,122,1,undirected
8,160,4,undirected
8,198,3,undirected
9,85,3,undirected
9,123,3,undirected
9,161,5,undirected
9,199,2,undirected
10,48,5,undirected
10,86,1,undirected
10,162,3,undirected
10,200,1,undirected
11,49,2,undirected
11,125,5,undirected
11,163,2,undirected
11,201,3,undirected
12,126,2,undirected
12,164,4,undirected
12,202,3,undirected
13,89,3,undirected
13,127,4,undirected
13,165,2,undirected
14,52,2,undirected
14,90,5,undirected
14,128,1,undirected
14,166,4,undirected
14,204,2,undirected
15,91,4,undirected
15,129,2,undirected
15,205,1,undirected
16,92,1,undirected
16,130,2,undirected
16,206,4,undirected
17,93,2,undirected
17,131,4,undirected
17,169,1,undirected
17,207,2,undirected
18,94,4,undirected
18,132,2,undirected
18,208,1,undirected
19,95,3,undirected
19,133,1,undirected
19,171,4,undirected
20,58,3,undirected
20,96,4,undirected
20,134,2,undirected
20,172,1,undirected
21,135,1,undirected
21,173,2,undirected
21,211,4,undirected
22,98,5,undirected
22,136,2,undirected
22,174,1,undirected
23,61,3,undirected
23,99,1,undirected
23,137,4,undirected
23,175,2,undirected
23,213,2,undirected
24,100,1,undirected
24,138,6,undirected
24,176,2,undirected
24,214,2,undirected
25,101,6,undirected
25,139,2,undirected
25,177,1,undirected
26,64,5,undirected
26,102,4,undirected
26,140,4,undirected
26,178,1,undirected
26,216,1,undirected
27,65,2,undirected
27,179,3,undirected
27,217,4,undirected
28,66,2,undirected
28,180,3,undirected
28,218,1,undirected
29,143,5,undirected
29,181,2,undirected
29,219,2,undirected
30,144,2,undirected
30,182,4,undirected
30,220,2,undirected
31,145,1,undirected
31,183,2,undirected
31,221,4,undirected
32,146,1,undirected
32,184,3,undirected
32,222,4,undirected
33,34,1,undirected
33,147,3,undirected
33,185,1,undirected
33,223,3,undirected
34,33,1,undirected
34,148,3,undirected
34,186,2,undirected
35,73,2,undirected
35,149,3,undirected
35,187,4,undirected
36,150,3,undirected
36,188,3,undirected
36,226,1,undirected
37,75,6,undirected
37,151,2,undirected
37,189,4,undirected
37,227,1,undirected
38,76,6,undirected
38,114,3,undirected
38,152,1,undirected
39,77,1,undirected
39,153,2,undirected
39,191,3,undirected
40,116,3,undirected
40,154,1,undirected
40,192,2,undirected
41,3,1,undirected
41,79,6,undirected
41,117,4,undirected
41,155,2,undirected
42,4,3,undirected
42,80,6,undirected
42,194,1,undirected
43,5,2,undirected
43,81,5,undirected
43,119,1,undirected
44,82,4,undirected
44,120,6,undirected
44,196,1,undirected
45,7,2,undirected
45,83,6,undirected
45,197,5,undirected
46,8,3,undirected
46,84,6,undirected
46,160,1,undirected
47,85,3,undirected
47,161,2,undirected
47,199,1,undirected
48,10,5,undirected
48,86,6,undirected
48,124,2,undirected
48,200,1,undirected
49,11,2,undirected
49,87,4,undirected
49,125,3,undirected
50,88,6,undirected
50,126,1,undirected
50,202,2,undirected
51,89,6,undirected
51,127,1,undirected
51,165,4,undirected
51,203,1,undirected
52,14,2,undirected
52,90,5,undirected
52,166,1,undirected
53,91,5,undirected
53,129,4,undirected
53,167,2,undirected
53,205,1,undirected
54,92,4,undirected
54,130,4,undirected
54,168,1,undirected
54,206,2,undirected
55,93,4,undirected
55,131,3,undirected
55,207,2,undirected
56,94,5,undirected
56,132,2,undirected
56,208,6,undirected
57,95,4,undirected
57,133,3,undirected
57,209,4,undirected
58,20,3,undirected
58,96,1,undirected
58,172,2,undirected
59,135,1,undirected
59,173,2,undirected
59,211,3,undirected
60,98,1,undirected
60,136,3,undirected
60,174,2,undirected
61,23,3,undirected
61,137,1,undirected
61,175,2,undirected
62,64,2,undirected
62,100,1,undirected
62,138,3,undirected
63,139,4,undirected
63,177,2,undirected
63,215,1,undirected
64,26,5,undirected
64,62,2,undirected
64,140,2,undirected
64,178,1,undirected
65,27,2,undirected
65,103,2,undirected
65,141,1,undirected
65,179,2,undirected
65,217,3,undirected
66,28,2,undirected
66,104,2,undirected
66,142,3,undirected
66,180,4,undirected
66,218,2,undirected
67,105,1,undirected
67,143,1,undirected
67,181,2,undirected
67,219,4,undirected
68,106,2,undirected
68,144,4,undirected
68,182,2,undirected
69,145,4,undirected
69,183,2,undirected
69,221,1,undirected
70,108,1,undirected
70,146,3,undirected
70,184,1,undirected
70,222,3,undirected
71,147,2,undirected
71,185,2,undirected
71,223,3,undirected
72,110,3,undirected
72,148,1,undirected
72,186,3,undirected
72,224,3,undirected
73,35,2,undirected
73,111,1,undirected
73,187,3,undirected
73,225,3,undirected
74,150,4,undirected
74,188,2,undirected
74,226,2,undirected
75,37,6,undirected
75,113,5,undirected
75,151,4,undirected
75,227,2,undirected
76,38,6,undirected
76,114,2,undirected
76,152,1,undirected
77,1,2,undirected
77,39,1,undirected
77,115,4,undirected
77,153,1,undirected
77,191,2,undirected
78,2,2,undirected
78,154,3,undirected
78,192,1,undirected
79,3,3,undirected
79,41,6,undirected
79,117,1,undirected
79,193,4,undirected
80,42,6,undirected
80,118,1,undirected
80,194,3,undirected
81,5,3,undirected
81,43,5,undirected
81,195,1,undirected
82,6,6,undirected
82,44,4,undirected
82,158,1,undirected
82,196,2,undirected
83,45,6,undirected
83,121,1,undirected
83,197,2,undirected
84,8,2,undirected
84,46,6,undirected
84,198,1,undirected
85,9,3,undirected
85,47,3,undirected
85,123,1,undirected
85,199,2,undirected
86,10,1,undirected
86,48,6,undirected
86,200,2,undirected
87,49,4,undirected
87,125,1,undirected
87,163,2,undirected
88,50,6,undirected
88,126,1,undirected
88,202,2,undirected
89,13,3,undirected
89,51,6,undirected
89,127,1,undirected
90,14,5,undirected
90,52,5,undirected
90,204,1,undirected
91,15,4,undirected
91,53,5,undirected
91,129,2,undirected
92,16,1,undirected
92,54,4,undirected
92,130,2,undirected
92,206,1,undirected
93,17,2,undirected
93,55,4,undirected
93,131,1,undirected
94,18,4,undirected
94,56,5,undirected
94,170,1,undirected
94,208,2,undirected
95,19,3,undirected
95,57,4,undirected
95,171,2,undirected
96,20,4,undirected
96,58,1,undirected
96,134,4,undirected
96,172,4,undirected
96,210,1,undirected
97,135,3,undirected
97,173,4,undirected
97,211,1,undirected
98,22,5,undirected
98,60,1,undirected
98,136,4,undirected
98,174,2,undirected
98,212,5,undirected
99,23,1,undirected
99,137,2,undirected
99,175,4,undirected
100,24,1,undirected
100,62,1,undirected
100,138,2,undirected
100,176,4,undirected
101,25,6,undirected
101,139,2,undirected
101,177,2,undirected
102,26,4,undirected
102,140,1,undirected
102,178,2,undirected
103,65,2,undirected
103,141,1,undirected
103,217,3,undirected
104,66,2,undirected
104,180,3,undirected
104,218,1,undirected
105,67,1,undirected
105,181,2,undirected
105,219,3,undirected
106,68,2,undirected
106,144,3,undirected
106,182,2,undirected
107,145,1,undirected
107,183,4,undirected
107,221,2,undirected
108,70,1,undirected
108,184,3,undirected
108,222,2,undirected
109,147,2,undirected
109,185,1,undirected
109,223,4,undirected
110,72,3,undirected
110,186,2,undirected
110,224,1,undirected
111,73,1,undirected
111,187,2,undirected
111,225,3,undirected
112,150,3,undirected
112,188,2,undirected
112,226,1,undirected
113,75,5,undirected
113,151,4,undirected
113,189,2,undirected
114,0,2,undirected
114,38,3,undirected
114,76,2,undirected
114,152,5,undirected
114,190,4,undirected
115,1,3,undirected
115,77,4,undirected
115,153,5,undirected
115,191,6,undirected
116,2,4,undirected
116,40,3,undirected
116,154,2,undirected
116,192,6,undirected
117,41,4,undirected
117,79,1,undirected
117,121,1,undirected
117,155,5,undirected
117,193,2,undirected
118,4,4,undirected
118,80,1,undirected
118,156,6,undirected
118,194,5,undirected
119,5,2,undirected
119,43,1,undirected
119,157,6,undirected
119,195,3,undirected
120,6,2,undirected
120,44,6,undirected
120,158,3,undirected
120,196,4,undirected
121,7,3,undirected
121,83,1,undirected
121,117,1,undirected
121,159,6,undirected
121,197,4,undirected
122,8,1,undirected
122,160,5,undirected
122,198,4,undirected
123,9,3,undirected
123,85,1,undirected
123,161,3,undirected
123,199,5,undirected
124,48,2,undirected
124,162,4,undirected
124,200,5,undirected
125,11,5,undirected
125,49,3,undirected
125,87,1,undirected
125,163,5,undirected
125,201,3,undirected
126,12,2,undirected
126,50,1,undirected
126,88,1,undirected
126,164,5,undirected
126,202,6,undirected
127,13,4,undirected
127,51,1,undirected
127,89,1,undirected
127,165,5,undirected
127,203,6,undirected
128,14,1,undirected
128,166,6,undirected
128,204,4,undirected
129,15,2,undirected
129,53,4,undirected
129,91,2,undirected
129,167,5,undirected
129,205,6,undirected
130,16,2,undirected
130,54,4,undirected
130,92,2,undirected
130,168,5,undirected
130,206,6,undirected
131,17,4,undirected
131,55,3,undirected
131,93,1,undirected
131,169,5,undirected
131,207,6,undirected
132,18,2,undirected
132,56,2,undirected
132,170,4,undirected
132,208,5,undirected
133,19,1,undirected
133,57,3,undirected
133,171,4,undirected
133,209,6,undirected
134,20,2,undirected
134,96,4,undirected
134,172,6,undirected
134,210,3,undirected
135,21,1,undirected
135,59,1,undirected
135,97,3,undirected
135,173,4,undirected
135,211,5,undirected
136,22,2,undirected
136,60,3,undirected
136,98,4,undirected
136,174,2,undirected
136,212,3,undirected
137,23,4,undirected
137,61,1,undirected
137,99,2,undirected
137,175,6,undirected
137,213,4,undirected
138,24,6,undirected
138,62,3,undirected
138,100,2,undirected
138,176,4,undirected
138,214,3,undirected
139,25,2,undirected
139,63,4,undirected
139,101,2,undirected
139,177,5,undirected
139,215,6,undirected
140,26,4,undirected
140,64,2,undirected
140,102,1,undirected
140,178,5,undirected
140,216,4,undirected
141,65,1,undirected
141,103,1,undirected
141,179,5,undirected
141,217,4,undirected
142,66,3,undirected
142,180,6,undirected
142,218,4,undirected
143,29,5,undirected
143,67,1,undirected
143,181,6,undirected
143,219,3,undirected
144,30,2,undirected
144,68,4,undirected
144,106,3,undirected
144,182,6,undirected
144,220,4,undirected
145,31,1,undirected
145,69,4,undirected
145,107,1,undirected
145,183,6,undirected
145,221,4,undirected
146,32,1,undirected
146,70,3,undirected
146,184,5,undirected
146,222,4,undirected
147,33,3,undirected
147,71,2,undirected
147,109,2,undirected
147,185,5,undirected
147,223,4,undirected
148,34,3,undirected
148,72,1,undirected
148,185,1,undirected
148,186,5,undirected
148,224,4,undirected
149,35,3,undirected
149,187,6,undirected
149,225,4,undirected
150,36,3,undirected
150,74,4,undirected
150,112,3,undirected
150,188,6,undirected
150,226,4,undirected
151,37,2,undirected
151,75,4,undirected
151,113,4,undirected
152,0,4,undirected
152,38,1,undirected
152,76,1,undirected
152,114,5,undirected
152,190,6,undirected
153,39,2,undirected
153,77,1,undirected
153,115,5,undirected
153,191,4,undirected
154,2,3,undirected
154,40,1,undirected
154,78,3,undirected
154,116,2,undirected
154,192,4,undirected
155,3,2,undirected
155,41,2,undirected
155,117,5,undirected
155,193,6,undirected
156,4,3,undirected
156,118,6,undirected
156,194,4,undirected
157,5,3,undirected
157,119,6,undirected
157,195,5,undirected
158,82,1,undirected
158,120,3,undirected
158,196,6,undirected
159,7,3,undirected
159,121,6,undirected
159,197,3,undirected
160,8,4,undirected
160,46,1,undirected
160,122,5,undirected
160,198,6,undirected
161,9,5,undirected
161,47,2,undirected
161,123,3,undirected
161,199,6,undirected
162,10,3,undirected
162,124,4,undirected
162,200,6,undirected
163,11,2,undirected
163,87,2,undirected
163,125,5,undirected
163,201,6,undirected
164,12,4,undirected
164,126,5,undirected
164,202,4,undirected
165,13,2,undirected
165,51,4,undirected
165,127,5,undirected
165,203,3,undirected
166,14,4,undirected
166,52,1,undirected
166,128,6,undirected
166,204,5,undirected
167,53,2,undirected
167,129,5,undirected
167,205,4,undirected
168,54,1,undirected
168,130,5,undirected
168,169,1,undirected
168,206,4,undirected
169,17,1,undirected
169,131,5,undirected
169,168,1,undirected
169,207,4,undirected
170,94,1,undirected
170,132,4,undirected
170,208,4,undirected
171,19,4,undirected
171,95,2,undirected
171,133,4,undirected
171,209,5,undirected
172,20,1,undirected
172,58,2,undirected
172,96,4,undirected
172,134,6,undirected
172,210,5,undirected
173,21,2,undirected
173,59,2,undirected
173,97,4,undirected
173,135,4,undirected
173,211,6,undirected
174,22,1,undirected
174,60,2,undirected
174,98,2,undirected
174,136,2,undirected
174,212,6,undirected
175,23,2,undirected
175,61,2,undirected
175,99,4,undirected
175,137,6,undirected
175,213,5,undirected
176,24,2,undirected
176,100,4,undirected
176,138,4,undirected
176,214,6,undirected
177,25,1,undirected
177,63,2,undirected
177,101,2,undirected
177,139,5,undirected
177,215,4,undirected
178,26,1,undirected
178,64,1,undirected
178,102,2,undirected
178,140,5,undirected
178,216,6,undirected
179,27,3,undirected
179,65,2,undirected
179,141,5,undirected
179,217,6,undirected
180,28,3,undirected
180,66,4,undirected
180,104,3,undirected
180,142,6,undirected
180,218,5,undirected
181,29,2,undirected
181,67,2,undirected
181,105,2,undirected
181,143,6,undirected
181,219,5,undirected
182,30,4,undirected
182,68,2,undirected
182,106,2,undirected
182,144,6,undirected
182,220,5,undirected
183,31,2,undirected
183,69,2,undirected
183,107,4,undirected
183,145,6,undirected
183,221,5,undirected
184,32,3,undirected
184,70,1,undirected
184,108,3,undirected
184,146,5,undirected
184,222,6,undirected
185,33,1,undirected
185,71,2,undirected
185,109,1,undirected
185,147,5,undirected
185,148,1,undirected
185,186,1,undirected
185,223,6,undirected
186,34,2,undirected
186,72,3,undirected
186,110,2,undirected
186,148,5,undirected
186,185,1,undirected
186,224,6,undirected
187,35,4,undirected
187,73,3,undirected
187,111,2,undirected
187,149,6,undirected
187,225,5,undirected
188,36,3,undirected
188,74,2,undirected
188,112,2,undirected
188,150,6,undirected
188,226,5,undirected
189,37,4,undirected
189,113,2,undirected
189,227,6,undirected
190,0,1,undirected
190,114,4,undirected
190,152,6,undirected
190,201,1,undirected
191,1,3,undirected
191,39,3,undirected
191,77,2,undirected
191,115,6,undirected
191,153,4,undirected
192,2,5,undirected
192,40,2,undirected
192,78,1,undirected
192,116,6,undirected
192,154,4,undirected
193,79,4,undirected
193,117,2,undirected
193,155,6,undirected
194,42,1,undirected
194,80,3,undirected
194,118,5,undirected
194,156,4,undirected
195,5,5,undirected
195,81,1,undirected
195,119,3,undirected
195,157,5,undirected
196,6,1,undirected
196,44,1,undirected
196,82,2,undirected
196,120,4,undirected
196,158,6,undirected
197,45,5,undirected
197,83,2,undirected
197,121,4,undirected
197,159,3,undirected
198,8,3,undirected
198,84,1,undirected
198,122,4,undirected
198,160,6,undirected
199,9,2,undirected
199,47,1,undirected
199,85,2,undirected
199,123,5,undirected
199,161,6,undirected
200,10,1,undirected
200,48,1,undirected
200,86,2,undirected
200,124,5,undirected
200,162,6,undirected
201,11,3,undirected
201,125,3,undirected
201,163,6,undirected
201,190,1,undirected
202,12,3,undirected
202,50,2,undirected
202,88,2,undirected
202,126,6,undirected
202,164,4,undirected
203,51,1,undirected
203,127,6,undirected
203,165,3,undirected
204,14,2,undirected
204,90,1,undirected
204,128,4,undirected
204,166,5,undirected
205,15,1,undirected
205,53,1,undirected
205,129,6,undirected
205,167,4,undirected
206,16,4,undirected
206,54,2,undirected
206,92,1,undirected
206,130,6,undirected
206,168,4,undirected
206,207,1,undirected
207,17,2,undirected
207,55,2,undirected
207,131,6,undirected
207,169,4,undirected
207,206,1,undirected
208,18,1,undirected
208,56,6,undirected
208,94,2,undirected
208,132,5,undirected
208,170,4,undirected
209,57,4,undirected
209,133,6,undirected
209,171,5,undirected
209,215,1,undirected
210,96,1,undirected
210,134,3,undirected
210,172,5,undirected
211,21,4,undirected
211,59,3,undirected
211,97,1,undirected
211,135,5,undirected
211,173,6,undirected
212,98,5,undirected
212,136,3,undirected
212,174,6,undirected
213,23,2,undirected
213,137,4,undirected
213,175,5,undirected
214,24,2,undirected
214,138,3,undirected
214,176,6,undirected
215,63,1,undirected
215,139,6,undirected
215,177,4,undirected
215,209,1,undirected
216,26,1,undirected
216,140,4,undirected
216,178,6,undirected
217,27,4,undirected
217,65,3,undirected
217,103,3,undirected
217,141,4,undirected
217,179,6,undirected
218,28,1,undirected
218,66,2,undirected
218,104,1,undirected
218,142,4,undirected
218,180,5,undirected
219,29,2,undirected
219,67,4,undirected
219,105,3,undirected
219,143,3,undirected
219,181,5,undirected
220,30,2,undirected
220,144,4,undirected
220,182,5,undirected
221,31,4,undirected
221,69,1,undirected
221,107,2,undirected
221,145,4,undirected
221,183,5,undirected
222,32,4,undirected
222,70,3,undirected
222,108,2,undirected
222,146,4,undirected
222,184,6,undirected
223,33,3,undirected
223,71,3,undirected
223,109,4,undirected
223,147,4,undirected
223,185,6,undirected
224,72,3,undirected
224,110,1,undirected
224,148,4,undirected
224,186,6,undirected
225,73,3,undirected
225,111,3,undirected
225,149,4,undirected
225,187,5,undirected
226,36,1,undirected
226,74,2,undirected
226,112,1,undirected
226,150,4,undirected
226,188,5,undirected
227,37,1,undirected
227,75,2,undirected
227,189,6,undirected
